group,schema,class,fragment_type,fragment,type_variation,identifier,source_type,translated_target_type,translated,attempted,timestamp,feedback
jansi.jansi.*,jansi.jansi.src.main.org.fusesource.jansi.Ansi.json,27-973:Ansi,method,524-526:fgBrightMagenta,return_types,Ansi,Ansi,Ansi,True,True,2026-05-13 16:32:39,
jansi.jansi.*,jansi.jansi.src.main.org.fusesource.jansi.Ansi.json,27-973:Ansi,method,528-530:fgBrightRed,return_types,Ansi,Ansi,Ansi,True,True,2026-05-13 16:32:39,
jansi.jansi.*,jansi.jansi.src.main.org.fusesource.jansi.Ansi.json,27-973:Ansi,method,532-534:fgBrightYellow,return_types,Ansi,Ansi,Ansi,True,True,2026-05-13 16:32:39,
jansi.jansi.*,jansi.jansi.src.main.org.fusesource.jansi.Ansi.json,27-973:Ansi,method,536-539:bgBright,return_types,Ansi,Ansi,Ansi,True,True,2026-05-13 16:32:39,
jansi.jansi.*,jansi.jansi.src.main.org.fusesource.jansi.Ansi.json,27-973:Ansi,method,536-539:bgBright,parameters,|Color|color,Color,Color,True,True,2026-05-13 16:32:39,
jansi.jansi.*,jansi.jansi.src.main.org.fusesource.jansi.Ansi.json,27-973:Ansi,method,541-543:bgBrightCyan,return_types,Ansi,Ansi,Ansi,True,True,2026-05-13 16:32:39,
jansi.jansi.*,jansi.jansi.src.main.org.fusesource.jansi.Ansi.json,27-973:Ansi,method,545-547:bgBrightDefault,return_types,Ansi,Ansi,Ansi,True,True,2026-05-13 16:32:39,
jansi.jansi.*,jansi.jansi.src.main.org.fusesource.jansi.Ansi.json,27-973:Ansi,method,549-551:bgBrightGreen,return_types,Ansi,Ansi,Ansi,True,True,2026-05-13 16:32:39,
jansi.jansi.*,jansi.jansi.src.main.org.fusesource.jansi.Ansi.json,27-973:Ansi,method,553-555:bgBrightMagenta,return_types,Ansi,Ansi,Ansi,True,True,2026-05-13 16:32:39,
jansi.jansi.*,jansi.jansi.src.main.org.fusesource.jansi.Ansi.json,27-973:Ansi,method,557-559:bgBrightRed,return_types,Ansi,Ansi,Ansi,True,True,2026-05-13 16:32:39,
jansi.jansi.*,jansi.jansi.src.main.org.fusesource.jansi.Ansi.json,27-973:Ansi,method,561-563:bgBrightYellow,return_types,Ansi,Ansi,Ansi,True,True,2026-05-13 16:32:39,
jansi.jansi.*,jansi.jansi.src.main.org.fusesource.jansi.Ansi.json,27-973:Ansi,method,565-568:a,return_types,Ansi,Ansi,Ansi,True,True,2026-05-13 16:32:39,
jansi.jansi.*,jansi.jansi.src.main.org.fusesource.jansi.Ansi.json,27-973:Ansi,method,565-568:a,parameters,|Attribute|attribute,Attribute,Attribute,True,True,2026-05-13 16:32:40,
jansi.jansi.*,jansi.jansi.src.main.org.fusesource.jansi.Ansi.json,27-973:Ansi,method,578-580:cursor,return_types,Ansi,Ansi,Ansi,True,True,2026-05-13 16:32:40,
jansi.jansi.*,jansi.jansi.src.main.org.fusesource.jansi.Ansi.json,27-973:Ansi,method,578-580:cursor,parameters,final|int|row,int,Int64,True,True,2026-05-13 16:32:40,
jansi.jansi.*,jansi.jansi.src.main.org.fusesource.jansi.Ansi.json,27-973:Ansi,method,578-580:cursor,parameters,final|int|column,int,Int64,True,True,2026-05-13 16:32:40,
jansi.jansi.*,jansi.jansi.src.main.org.fusesource.jansi.Ansi.json,27-973:Ansi,method,589-591:cursorToColumn,return_types,Ansi,Ansi,Ansi,True,True,2026-05-13 16:32:40,
jansi.jansi.*,jansi.jansi.src.main.org.fusesource.jansi.Ansi.json,27-973:Ansi,method,589-591:cursorToColumn,parameters,final|int|x,int,Int64,True,True,2026-05-13 16:32:40,
jansi.jansi.*,jansi.jansi.src.main.org.fusesource.jansi.Ansi.json,27-973:Ansi,method,599-601:cursorUp,return_types,Ansi,Ansi,Ansi,True,True,2026-05-13 16:32:40,
jansi.jansi.*,jansi.jansi.src.main.org.fusesource.jansi.Ansi.json,27-973:Ansi,method,599-601:cursorUp,parameters,final|int|y,int,Int64,True,True,2026-05-13 16:32:40,
jansi.jansi.*,jansi.jansi.src.main.org.fusesource.jansi.Ansi.json,27-973:Ansi,method,609-611:cursorDown,return_types,Ansi,Ansi,Ansi,True,True,2026-05-13 16:32:40,
jansi.jansi.*,jansi.jansi.src.main.org.fusesource.jansi.Ansi.json,27-973:Ansi,method,609-611:cursorDown,parameters,final|int|y,int,Int64,True,True,2026-05-13 16:32:40,
jansi.jansi.*,jansi.jansi.src.main.org.fusesource.jansi.Ansi.json,27-973:Ansi,method,619-621:cursorRight,return_types,Ansi,Ansi,Ansi,True,True,2026-05-13 16:32:40,
jansi.jansi.*,jansi.jansi.src.main.org.fusesource.jansi.Ansi.json,27-973:Ansi,method,619-621:cursorRight,parameters,final|int|x,int,Int64,True,True,2026-05-13 16:32:40,
jansi.jansi.*,jansi.jansi.src.main.org.fusesource.jansi.Ansi.json,27-973:Ansi,method,629-631:cursorLeft,return_types,Ansi,Ansi,Ansi,True,True,2026-05-13 16:32:40,
jansi.jansi.*,jansi.jansi.src.main.org.fusesource.jansi.Ansi.json,27-973:Ansi,method,629-631:cursorLeft,parameters,final|int|x,int,Int64,True,True,2026-05-13 16:32:40,
jansi.jansi.*,jansi.jansi.src.main.org.fusesource.jansi.Ansi.json,27-973:Ansi,method,642-644:cursorMove,return_types,Ansi,Ansi,Ansi,True,True,2026-05-13 16:32:40,
jansi.jansi.*,jansi.jansi.src.main.org.fusesource.jansi.Ansi.json,27-973:Ansi,method,642-644:cursorMove,parameters,final|int|x,int,Int64,True,True,2026-05-13 16:32:40,
jansi.jansi.*,jansi.jansi.src.main.org.fusesource.jansi.Ansi.json,27-973:Ansi,method,642-644:cursorMove,parameters,final|int|y,int,Int64,True,True,2026-05-13 16:32:40,
jansi.jansi.*,jansi.jansi.src.main.org.fusesource.jansi.Ansi.json,27-973:Ansi,method,651-653:cursorDownLine,return_types,Ansi,Ansi,Ansi,True,True,2026-05-13 16:32:40,
jansi.jansi.*,jansi.jansi.src.main.org.fusesource.jansi.Ansi.json,27-973:Ansi,method,662-664:cursorDownLine,return_types,Ansi,Ansi,Ansi,True,True,2026-05-13 16:32:40,
jansi.jansi.*,jansi.jansi.src.main.org.fusesource.jansi.Ansi.json,27-973:Ansi,method,662-664:cursorDownLine,parameters,final|int|n,int,Int64,True,True,2026-05-13 16:32:40,
jansi.jansi.*,jansi.jansi.src.main.org.fusesource.jansi.Ansi.json,27-973:Ansi,method,671-673:cursorUpLine,return_types,Ansi,Ansi,Ansi,True,True,2026-05-13 16:32:40,
jansi.jansi.*,jansi.jansi.src.main.org.fusesource.jansi.Ansi.json,27-973:Ansi,method,682-684:cursorUpLine,return_types,Ansi,Ansi,Ansi,True,True,2026-05-13 16:32:40,
jansi.jansi.*,jansi.jansi.src.main.org.fusesource.jansi.Ansi.json,27-973:Ansi,method,682-684:cursorUpLine,parameters,final|int|n,int,Int64,True,True,2026-05-13 16:32:40,
jansi.jansi.*,jansi.jansi.src.main.org.fusesource.jansi.Ansi.json,27-973:Ansi,method,686-688:eraseScreen,return_types,Ansi,Ansi,Ansi,True,True,2026-05-13 16:32:40,
jansi.jansi.*,jansi.jansi.src.main.org.fusesource.jansi.Ansi.json,27-973:Ansi,method,690-692:eraseScreen,return_types,Ansi,Ansi,Ansi,True,True,2026-05-13 16:32:40,
jansi.jansi.*,jansi.jansi.src.main.org.fusesource.jansi.Ansi.json,27-973:Ansi,method,690-692:eraseScreen,parameters,final|Erase|kind,Erase,Erase,True,True,2026-05-13 16:32:40,
jansi.jansi.*,jansi.jansi.src.main.org.fusesource.jansi.Ansi.json,27-973:Ansi,method,694-696:eraseLine,return_types,Ansi,Ansi,Ansi,True,True,2026-05-13 16:32:40,
jansi.jansi.*,jansi.jansi.src.main.org.fusesource.jansi.Ansi.json,27-973:Ansi,method,698-700:eraseLine,return_types,Ansi,Ansi,Ansi,True,True,2026-05-13 16:32:40,
jansi.jansi.*,jansi.jansi.src.main.org.fusesource.jansi.Ansi.json,27-973:Ansi,method,698-700:eraseLine,parameters,final|Erase|kind,Erase,Erase,True,True,2026-05-13 16:32:40,
jansi.jansi.*,jansi.jansi.src.main.org.fusesource.jansi.Ansi.json,27-973:Ansi,method,702-707:scrollUp,return_types,Ansi,Ansi,Ansi,True,True,2026-05-13 16:32:40,
jansi.jansi.*,jansi.jansi.src.main.org.fusesource.jansi.Ansi.json,27-973:Ansi,method,702-707:scrollUp,parameters,final|int|rows,int,Int64,True,True,2026-05-13 16:32:40,
jansi.jansi.*,jansi.jansi.src.main.org.fusesource.jansi.Ansi.json,27-973:Ansi,method,709-714:scrollDown,return_types,Ansi,Ansi,Ansi,True,True,2026-05-13 16:32:40,
jansi.jansi.*,jansi.jansi.src.main.org.fusesource.jansi.Ansi.json,27-973:Ansi,method,709-714:scrollDown,parameters,final|int|rows,int,Int64,True,True,2026-05-13 16:32:40,
jansi.jansi.*,jansi.jansi.src.main.org.fusesource.jansi.Ansi.json,27-973:Ansi,method,716-719:restorCursorPosition,return_types,Ansi,Ansi,Ansi,True,True,2026-05-13 16:32:40,
jansi.jansi.*,jansi.jansi.src.main.org.fusesource.jansi.Ansi.json,27-973:Ansi,method,721-724:saveCursorPosition,return_types,Ansi,Ansi,Ansi,True,True,2026-05-13 16:32:40,
jansi.jansi.*,jansi.jansi.src.main.org.fusesource.jansi.Ansi.json,27-973:Ansi,method,727-729:saveCursorPositionSCO,return_types,Ansi,Ansi,Ansi,True,True,2026-05-13 16:32:40,
jansi.jansi.*,jansi.jansi.src.main.org.fusesource.jansi.Ansi.json,27-973:Ansi,method,732-736:saveCursorPositionDEC,return_types,Ansi,Ansi,Ansi,True,True,2026-05-13 16:32:40,
jansi.jansi.*,jansi.jansi.src.main.org.fusesource.jansi.Ansi.json,27-973:Ansi,method,738-741:restoreCursorPosition,return_types,Ansi,Ansi,Ansi,True,True,2026-05-13 16:32:40,
jansi.jansi.*,jansi.jansi.src.main.org.fusesource.jansi.Ansi.json,27-973:Ansi,method,744-746:restoreCursorPositionSCO,return_types,Ansi,Ansi,Ansi,True,True,2026-05-13 16:32:40,
jansi.jansi.*,jansi.jansi.src.main.org.fusesource.jansi.Ansi.json,27-973:Ansi,method,749-753:restoreCursorPositionDEC,return_types,Ansi,Ansi,Ansi,True,True,2026-05-13 16:32:40,
jansi.jansi.*,jansi.jansi.src.main.org.fusesource.jansi.Ansi.json,27-973:Ansi,method,755-757:reset,return_types,Ansi,Ansi,Ansi,True,True,2026-05-13 16:32:40,
jansi.jansi.*,jansi.jansi.src.main.org.fusesource.jansi.Ansi.json,27-973:Ansi,method,759-761:bold,return_types,Ansi,Ansi,Ansi,True,True,2026-05-13 16:32:40,
jansi.jansi.*,jansi.jansi.src.main.org.fusesource.jansi.Ansi.json,27-973:Ansi,method,763-765:boldOff,return_types,Ansi,Ansi,Ansi,True,True,2026-05-13 16:32:40,
jansi.jansi.*,jansi.jansi.src.main.org.fusesource.jansi.Ansi.json,27-973:Ansi,method,767-771:a,return_types,Ansi,Ansi,Ansi,True,True,2026-05-13 16:32:40,
jansi.jansi.*,jansi.jansi.src.main.org.fusesource.jansi.Ansi.json,27-973:Ansi,method,767-771:a,parameters,|String|value,String,String,True,True,2026-05-13 16:32:40,
jansi.jansi.*,jansi.jansi.src.main.org.fusesource.jansi.Ansi.json,27-973:Ansi,method,773-777:a,return_types,Ansi,Ansi,Ansi,True,True,2026-05-13 16:32:40,
jansi.jansi.*,jansi.jansi.src.main.org.fusesource.jansi.Ansi.json,27-973:Ansi,method,773-777:a,parameters,|boolean|value,boolean,Bool,True,True,2026-05-13 16:32:40,
jansi.jansi.*,jansi.jansi.src.main.org.fusesource.jansi.Ansi.json,27-973:Ansi,method,779-783:a,return_types,Ansi,Ansi,Ansi,True,True,2026-05-13 16:32:40,
jansi.jansi.*,jansi.jansi.src.main.org.fusesource.jansi.Ansi.json,27-973:Ansi,method,779-783:a,parameters,|char|value,char,Rune,True,True,2026-05-13 16:32:40,
jansi.jansi.*,jansi.jansi.src.main.org.fusesource.jansi.Ansi.json,27-973:Ansi,method,785-789:a,return_types,Ansi,Ansi,Ansi,True,True,2026-05-13 16:32:40,
jansi.jansi.*,jansi.jansi.src.main.org.fusesource.jansi.Ansi.json,27-973:Ansi,method,785-789:a,parameters,|char[]|value,char[],Array<UInt16>,True,True,2026-05-14 11:55:26,"Cangjie compilation error: [31merror[0m: expected declaration, found 'from'  [36m==>[0m /tmp/tmpczcahqm8.cj:3:1:   [36m| [0m [36m3[0m [36m| [0mfrom std.core import Array[0m   [36m| [0m[31m^^^^ expected declaration here[0m   [36m| [0m   [36m#[0m [0mnote[0m: only declarations or macro expressions can be used in the top-level  1 error generated, 1 error printed. "
jansi.jansi.*,jansi.jansi.src.main.org.fusesource.jansi.Ansi.json,27-973:Ansi,method,785-789:a,parameters,|int|offset,int,Int64,True,True,2026-05-13 16:32:47,
jansi.jansi.*,jansi.jansi.src.main.org.fusesource.jansi.Ansi.json,27-973:Ansi,method,785-789:a,parameters,|int|len,int,Int64,True,True,2026-05-13 16:32:47,
jansi.jansi.*,jansi.jansi.src.main.org.fusesource.jansi.Ansi.json,27-973:Ansi,method,791-795:a,return_types,Ansi,Ansi,Ansi,True,True,2026-05-13 16:32:47,
